Cultivar,Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Access,Tadcaster,N Yorks.,53.8836,-1.2609,2003,1/10,308.3,11.72
Access,TADC'R,N YRKS,53.8836,-1.2609,2002,1/10,305.0,11.56
Access,Worksop,Notts.,53.3093,-1.1227,2003,1/10,307.0,10.6
Access,Humbie,East Lothian,55.8551,-2.8648,2004,1/10,329.0,9.51
Access,WK'SOP,NOTTS,53.3093,-1.1227,2002,1/10,300.0,7.91
Access,Wimborne St Giles,Dorset,50.9071,-1.9552,2004,1/10,,9.31
Access,Rhynd,Perth and Kinross,56.3653,-3.3657,2004,1/10,,12.41
Access,Whitsome,Scottish Borders,55.7484,-2.217,2005,1/10,325.0,10.26
Access,Duns,Sc. Bord.,55.7778,-2.3435,2003,1/10,321.7,11.79
Access,CROFT,N YRKS,54.4835,-1.5551,2002,1/10,320.0,12.91
Access,Melton Mowbray,Leics,52.7664,-0.8871,2003,1/10,279.0,12.31
Access,Caythorpe,Lincolnshire,53.0216,-0.6046,2004,1/10,287.0,6.93
Access,K'STON,DEVON,50.3078,-3.927,2002,1/10,,9.65
Access,Croft on Tees,N Yorks.,54.4835,-1.5551,2003,1/10,316.3,12.81
Access,Duggleby,North Yorkshire,54.0928,-0.6573,2004,1/10,,8.34
Access,Rhynd,Perth & Kinross,56.3653,-3.3657,2005,1/10,334.0,10.74
Access,Morpeth,Northumb.,55.1687,-1.6875,2003,1/10,,9.53
Access,ME MOW,LEICS,52.7664,-0.8871,2002,1/10,,11.5
Access,Kingston,Devon,50.3078,-3.927,2003,1/10,302.0,7.8
Access,MORP'H,NORTHD,55.1687,-1.6875,2002,1/10,,10.31
Alchemy,Ragnall,Nottinghamshire,53.2556,-0.7963,2005,1/10,317.0,9.65
Alchemy,Ccreevy,Down,53.79448,-6.076,2010,8/10,325.0,11.06
Alchemy,StBosw,ScBord,55.5708,-2.6475,2014,30/9,325.0,11.35
Alchemy,StBosw,ScBord,55.5708,-2.6475,2010,1/10,,11.23
Alchemy,Broughtn,Hants,53.1635,-2.9972,2015,22/10,,11.23
Alchemy,Hinstock,Shrops,52.836,-2.4575,2012,1/10,320.0,10.18
Alchemy,Newport,Shrops,51.5842,-2.9977,2011,8/10,,10.12
Alchemy,Broughtn,Hants,53.1635,-2.9972,2014,24/10,,12.15
Alchemy,Girton,Cambs,52.241,0.0814,2009,29/9,301.0,9.51
Alchemy,Broughtn,Hants,53.1635,-2.9972,2012,1/10,,8.49
Alchemy,Girton,Cambs,52.241,0.0814,2010,28/9,298.0,11.52
Alchemy,Girton,Cambs,52.241,0.0814,2011,19/10,,8.68
Alchemy,Histon,Cambridgeshire,52.2513,0.1185,2005,1/10,285.0,10.87
Alchemy,Histon,Cambs,52.2513,0.1185,2006,1/10,292.0,8.17
Alchemy,Histon,Cambs,52.2513,0.1185,2007,1/10,299.0,10.7
Alchemy,TRawstn,Dorset,50.8575,-2.0897,2007,1/10,,8.48
Alchemy,StBosw,ScBord,55.5708,-2.6475,2015,25/9,340.0,12.5
Alchemy,Barthorpe,NYorks,54.0264,-0.8172,2011,27/9,,10.35
Alchemy,Barthorpe,North Yorkshire,54.0264,-0.8172,2005,1/10,324.0,11.15
