Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Didbrook,Gloucestershire,51.982,-1.9244,2005,10-Jan,,
Didbrook,Gloucs,51.982,-1.9244,2007,10-Jan,,
Didbrook,Gloucs,51.982,-1.9244,2008,10-Mar,,
Didbrook,Gloucs,51.982,-1.9244,2009,10-Mar,,
Didbrook,Gloucs,51.982,-1.9244,2010,13-Oct,,
Didbrook,Gloucs,51.982,-1.9244,2011,10-Dec,,
Didbrook,Gloucs,51.982,-1.9244,2012,10-Jan,,8.12
Didbrook,Gloucs,51.982,-1.9244,2016,30-Sep,,
DownP,Down,54.3288,-5.7157,2007,10-Jan,,
DownP,Down,54.3288,-5.7157,2008,10-Jan,,
DownP,Down,54.3288,-5.7157,2011,19-Oct,,
Duggleby,North Yorkshire,54.0928,-0.6573,2004,10-Jan,,
DUNMOW,ESSEX,51.8729,0.3578,2002,10-Jan,,
Dunmow,Essex,51.8729,0.3578,2006,10-Jan,,
Dunmow,Essex,51.8729,0.3578,2011,10-Jul,,
Dunmow,Essex,51.8729,0.3578,2012,10-Jan,,11.45
Duns,Sc. Bord.,55.7778,-2.3435,2003,10-Jan,,
Dyce,Aberdn,57.2035,-2.1902,2008,10-Sep,,
Dyce,Aberdn,57.2035,-2.1902,2009,10-Sep,,
East Mllng,Kent,51.2885,0.4383,2017,10-Dec,,
Edgmond,Shrops,52.77,-2.4104,2010,10-Aug,,
Edgmond,Shrops,52.77,-2.4104,2013,26-Oct,304,9.5
Edgmond,Shrops,52.77,-2.4104,2017,10-Dec,,
EDINB,LOTH'N,55.9533,-3.1883,2002,10-Jan,,
Elgin,Moray,57.6495,-3.3185,2003,10-Jan,,
Elgin,Moray,57.6495,-3.3185,2004,10-Jan,,
Elgin,Moray,57.6495,-3.3185,2005,10-Jan,,
Elgin,Moray,57.6495,-3.3185,2006,10-Jan,,
Elgin,Moray,57.6495,-3.3185,2017,20-Oct,,
Elie,Fife,52.3995,-0.2624,2014,10-Oct,,10.42
Elie,Fife,52.3995,-0.2624,2015,13-Oct,,12.64
Elie,Fife,52.3995,-0.2624,2016,14-Oct,,
Ellon,Aberdn,57.3646,-2.073,2010,29-Sep,,
Ellon,Aberdn,57.3646,-2.073,2011,13-Oct,,
Ellon,Aberdn,57.3646,-2.073,2012,10-Jan,345,6.92
Ellon,Aberdn,57.3646,-2.073,2013,10-Oct,328,7.74
Elmswell,Sufflk,52.236999999999995,0.9125,2011,22-Oct,,
