Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Croft,Teesside,54.4835,-1.5551,2015,25/9,,
Croft on Tees,N Yorks.,54.4835,-1.5551,2003,10/1,313.7,12.98
Croft on Tees,North Yorkshire,54.4835,-1.5551,2004,10/1,,
Deopham,Norfk,52.5593,1.0225,2017,27/9,,
Didbrook,Gloucestershire,51.982,-1.9244,2005,10/1,296,9.65
Didbrook,Gloucs,51.982,-1.9244,2007,10/1,,9.89
Didbrook,Gloucs,51.982,-1.9244,2008,10/3,,12.15
Didbrook,Gloucs,51.982,-1.9244,2009,10/3,,10.34
Didbrook,Gloucs,51.982,-1.9244,2010,13/10,,3.62
Didbrook,Gloucs,51.982,-1.9244,2011,10/12,,
Didbrook,Gloucs,51.982,-1.9244,2012,10/1,,
Didbrook,Gloucs,51.982,-1.9244,2016,30/9,,
DownP,Down,54.3288,-5.7157,2007,10/1,,8.83
DownP,Down,54.3288,-5.7157,2008,10/1,,10.87
DownP,Down,54.3288,-5.7157,2011,19/10,,
Duggleby,North Yorkshire,54.0928,-0.6573,2004,10/1,,6.52
DUNMOW,ESSEX,51.8729,0.3578,2002,10/1,,8.18
Dunmow,Essex,51.8729,0.3578,2006,10/1,,11.9
Dunmow,Essex,51.8729,0.3578,2011,10/7,,
Dunmow,Essex,51.8729,0.3578,2012,10/1,,
Duns,Sc. Bord.,55.7778,-2.3435,2003,10/1,322.3,11.91
Dyce,Aberdn,57.2035,-2.1902,2008,10/9,342,11.56
Dyce,Aberdn,57.2035,-2.1902,2009,10/9,332,9.85
East Mllng,Kent,51.2885,0.4383,2017,10/12,,
Edgmond,Shrops,52.77,-2.4104,2010,10/8,,16.02
Edgmond,Shrops,52.77,-2.4104,2013,26/10,,
Edgmond,Shrops,52.77,-2.4104,2017,10/12,,
EDINB,LOTH'N,55.9533,-3.1883,2002,10/1,331,9.91
Elgin,Moray,57.6495,-3.3185,2003,10/1,323.7,8.92
Elgin,Moray,57.6495,-3.3185,2004,10/1,,10.25
Elgin,Moray,57.6495,-3.3185,2005,10/1,318,9.34
